Molecule,SMILES,Fingerprints,Keck_Pria_AS_Retest,Keck_Pria_FP_data,Keck_Pria_Continuous,Keck_RMI_cdd,FP counts % inhibition
SMSSF-0040552,c1ccc2c(c1)nc3c4cc(ccc4n(c3n2)CCCC)C,0000000000000000000000000000000001000000000001000000000000000000100000000100000010000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000010000000000000000000100000000000000000000010000000000000000000000000000000100001000000000000000000000000000000000000001000010000000000000000010000000000000000000001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000010100000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000010000100100000000000000000000000000001000000000000000001000000001000000000000000010000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000010000000000,0,0,-19.3248958448,1.0,97.0
SMSSF-0040578,C(#N)c1ccsc1NC(=O)c2cc(cc(c2)Cl)Cl,0100000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000010000000000000000000000000000000010001000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000011000000000000000000000000000000000000000000000001001000000010000000000000000000000000000000000001000000000000000000101000000000000001000000000000000000000000001000100000000001000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,-11.128631364,1.0,80.0
SMSSF-0040689,c1ccc2c(c1)-c3c4c(c(ccc4[nH]c(=O)c3C(=O)C)Cl)C2=O,0100000000000000000000000010000001000000000000100000000000000000100000000000000000000000001000000000000010000000000000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100010000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000100000000001000000000000000000000000000000000000000000000000000010000000010000001000000000000000000000000000000000000000000000000000000101001000000000000000000001001000000000000000000000001000000000000000000000100000000001000000000000000000000010000000000000000001000000000000000000000000000000000000000000010000000000000000000001000000001000000000000000000000000000000000001000000000000100000000001000000000000000000000000000000001000000,0,0,-0.9244106613200002,1.0,100.0
SMSSF-0040800,c1ccc2c(c1)c(c[nH]2)C=NNC(=O)CCC(C3CCC4C3(CCC5C4C(CC6C5(CCC(C6)O)C)O)C)C,0100000010000000001000000010110001001000010000000000000000000000100010000000000010000000001000000000000000000000000000010000000010000000001000001000000000000000000000000000000100000000000000000000000001000000000000000000000000000000010000000001000000100000000000000000100000000000000100000000000000000100000000000000001000000000100001000000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000001000000001101000000001000000001000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000001000000000000100000000000100000000000000000000000000000011000000000000100000000000001000001000000000000000100000000100000000000000000000011000000000000000000000000000000000001000001001011000010001000000000000000000000000000010000000000000000000100000000001011000000000000000000000000000000000100000000000000100000000000000000000000000000000000010000010000,0,0,0.573417073892,1.0,35.0
SMSSF-0040830,c1cc(ccc1c2cc(c3c(c(sc3n2)C(=O)Nc4ccc(cc4)OCC)N)C(F)(F)F)Cl,0000000000000000000000000000000001000000001000100000010000000000000001000000000010000000000000000000001000000000001000000000000010000000100000000001000000000000001000000000000000000000000000010000000000000000000000101000000000000000000001000000000000000000000000100000000000010000000000000001001000000000000000000000000000100000000000000000000000000000000010000000000000000000001000100000000000000000000000100000000000010000000011000100000000000000000000000000000000000000000100000000001000000000000000000000000100000000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000001000000000000000000010000000000000000000000100000001000000000000000000000000000000000000000000000000000000100000000001000000000000001010000001000000010000001000000000001000001000000000000000000000000010000000000000000010010000000100000000000100000000000000000000000000000010000001000001001000000000000000010000000010000000000000000000000000000000000,0,0,-13.832180488199999,1.0,28.0
SMSSF-0040836,c1cc(ccc1c2cc(c3c(c(sc3n2)C(=O)c4ccc(c(c4)Br)OC)N)C(F)(F)F)C,0000000001000000000000000000000001000000000000000000000000100000000000000000000000000000000000100100000000000000001000000000000000000000100000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000100000100000010000000000000001000000000000000000000000000000000000000000000000000000000000000010000100000000000000001000100000000000000000000000100000000000010000000001000100000000000000000000000000000000000000000100000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000110000000000000000000000000000000000000000010000000000000000000000101000000000000000000010010000000000000000000000000001010000000000000000000000000000000000000000000000000000100000000000000000100000001010000000000000000000001010000000100000001000000000000000000000100010000000000000000010010000000100000000000100000000000000000000000000000110000000000001001000000000000000010000000010000000000000000000000000000000000,0,0,-4.392803027819999,1.0,77.0
SMSSF-0040948,c1cc(cc(c1)Cl)N=Cc2cc(cc(c2O)Br)Br,0000000000000001000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000001000000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000100010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000100000000000000100000000000000000000000000000000000000000000000001010000000000000000000000000000000000100000000000000000000000000000011010000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010010000000000000001001000000000001000000000010000100000000000000000000000000011000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000,0,0,7.26320599425,1.0,35.0
SMSSF-0041047,c1ccc(cc1)C(c2ccccc2)C(=O)Nc3ccc(cc3)[S-](=O)(N4CCCC4)[O-],0100100000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000001000100010000000000000000000000000010000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000010000000000000001000000000000000000000000001000000000000000000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000100000000001000001010000000000000000000000100000000000000000000000000000000001000000000000001000001000000000000000000000000000001000001010000000000000000000000000000000000000000010000000000000000010000000000000010000000010000000000000000001000000000000000000010000000000000000000000000000000000000000000000000,0,0,-3.0493782491799997,1.0,18.0
SMSSF-0041056,c1ccc(cc1)c2c(c3ccccc3n2O)C(c4ccccn4)N5CCN(CC5)C(=O)OCC,0100010000000000000000000000001001000000010001000000000000000000100000000000000010000000000000000000000000000000000000000000000000010000100000000001000000000000000000000000000100000000010000000000000000000000000000100000000000000000000000000100000000000000000011000000000000000000000000000100001000000000000000000000000000000000000001000000101000000001000010000000000000000000001000000000010000000000000000000000000100000000000010000000000000000000100000001000010100000000000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000000101000000001000000000000000000000000011000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000010010000000000000000000000000001000100000100000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000010010001000000000000000000000000000000000000000000010000100000000000000000000000000010000000010000000000000000000000000000000000000000000000000100000000000000000000000000000000000000,0,0,17.7770357472,1.0,27.0
SMSSF-0041099,c1cc(oc1)C2C3C(=O)N(C(=O)C3ON2c4ccc(cc4)Cl)c5c(c(c(s5)C)C)C(=O)OC,0000010000000000000000000000000001000000000010100000000000000000100000000000000000000000000000000000000110000000000000000010000010000000000000000100000000000000001000000000000000000000000000000000000000000000010000001000000000000000010000000000000000001000000000100000001000000000000000000000000000000000000000000110000000000000000000000010000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000100001000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000010100000000000010000000000000000000000100000010000000000000000000010000010010010000000000001000000000000000000010010000000000000100000000000001000000000000000000000000000000000000000010000000000000000000100000000000001000001000000001000100000000000000000000100000001000001001000000000000000000000000000000000010000000010001010000000000000000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000000000010000,0,0,1.52780259718,1.0,28.0
